AccountID,CountryID,OrgID,PortfolioID,ReleaseID,Demand,UnitDemand,DemandAVG,DeltaMonth
36,18,4,4,202,3,4.41,3.705,0
36,21,4,4,322,0.1,3.45,1.775,1
36,21,4,4,207,2.33,1,1.665,0
36,21,4,4,322,0.52,4,2.26,0
36,21,4,4,207,1.6,3,2.3,0
36,21,4,4,322,0.52,1,0.76,0
36,21,4,4,207,1.4,1,1.2,0
36,21,4,4,322,0.52,2,1.26,0
36,21,4,4,322,0.52,3,1.76,0
36,21,4,4,322,0.52,2,1.26,0
36,21,4,4,322,0.52,3,1.76,0
36,21,4,4,322,1.15,1,1.075,0
36,21,4,4,322,1.15,4,2.575,0
36,21,4,4,322,1.15,2,1.575,0
36,5,4,4,302,1,4,2.5,0
36,5,4,4,302,2,2,2,0
36,5,10,4,322,2.37,2.37,2.37,-1
36,5,10,4,207,0.71,0.71,0.71,1
36,5,10,4,322,0.79,0.79,0.79,1
36,5,10,4,207,0.71,0.71,0.71,1
36,5,10,4,207,0.71,0.71,0.71,1
36,18,10,4,207,1,3,2,0
36,18,10,4,207,3,3,3,0
36,18,10,4,207,3,2,2.5,0
36,21,10,4,322,0.63,0.63,0.63,1
36,21,10,4,207,0.29,0.29,0.29,1
36,21,10,4,322,0.21,0.21,0.21,1
36,21,10,4,207,0.29,0.29,0.29,1
36,21,10,4,207,0.29,0.29,0.29,1
36,5,12,4,322,3.01,3.01,3.01,-1
36,5,12,4,207,1.42,0.71,1.065,0
36,5,12,4,207,1.42,2.84,2.13,1
36,5,12,4,207,1.42,1.42,1.42,1
36,18,12,4,207,3,2,2.5,0
36,18,12,4,202,1,2,1.5,0
36,18,12,4,207,2,3,2.5,0
36,18,12,4,207,1,1,1,0
36,21,12,4,322,0.79,0.79,0.79,1
36,21,12,4,207,0.58,0.29,0.435,1
36,21,12,4,207,0.58,1.16,0.87,0
36,21,12,4,207,0.58,0.58,0.58,1
36,5,15,4,322,1.58,1.58,1.58,1
36,5,15,4,207,2.13,1.42,1.775,0
36,5,15,4,322,0.79,0.79,0.79,1
36,5,15,4,207,1.42,2.84,2.13,1
36,5,15,4,322,0.79,0.79,0.79,1
36,5,15,4,207,1.42,1.42,1.42,1
36,5,15,4,322,0.79,0.79,0.79,1
36,5,15,4,322,0.79,0.79,0.79,1
36,5,15,4,322,0.79,0.79,0.79,1
36,5,15,4,322,0.79,0.79,0.79,1
36,5,15,4,322,0.79,0.79,0.79,1
36,5,15,4,322,0.79,0.79,0.79,1
36,5,15,4,322,0.79,0.79,0.79,1
36,18,15,4,207,3,2,2.5,0
36,18,15,4,207,1,3,2,0
36,18,15,4,207,3,1,2,0
36,21,15,4,322,0.42,0.42,0.42,1
36,21,15,4,32,2,3,2.5,0
36,21,15,4,207,0.87,0.58,0.725,1
36,21,15,4,322,0.21,0.21,0.21,1
36,21,15,4,32,1,3,2,0
36,21,15,4,207,0.58,1.16,0.87,0
36,21,15,4,322,0.21,0.21,0.21,1
36,21,15,4,32,2,4,3,0
36,21,15,4,207,0.58,0.58,0.58,1
36,21,15,4,322,0.21,0.21,0.21,1
36,21,15,4,32,3,2,2.5,0
36,21,15,4,322,0.21,0.21,0.21,1
36,21,15,4,322,0.21,0.21,0.21,1
36,21,15,4,322,0.21,0.21,0.21,1
36,21,15,4,322,0.21,0.21,0.21,1
36,21,15,4,322,0.21,0.21,0.21,1
36,21,15,4,322,0.21,0.21,0.21,1
36,5,16,4,207,0.71,0.71,0.71,1
36,5,16,4,207,0.71,0.71,0.71,1
36,18,16,4,207,3,4,3.5,0
36,18,16,4,207,1,1,1,0
36,21,16,4,207,0.29,0.29,0.29,1
36,21,16,4,207,0.29,0.29,0.29,1
36,5,18,4,202,1,4,2.5,0
36,5,18,4,322,5.93,5.93,5.93,1
36,5,18,4,207,0.92,0.71,0.815,1
36,5,18,4,202,3,1,2,0
36,5,18,4,322,0.79,0.79,0.79,1
36,5,18,4,207,1.77,0.71,1.24,0
36,18,18,4,207,1,3,2,0
36,18,18,4,207,3,1,2,0
36,21,18,4,322,1.57,1.57,1.57,1
36,21,18,4,207,0.38,0.29,0.335,1
